catchment,priority,uaf_group,project_name,assigned_sample_label,sample_description,geology,field_station_remarks,location_description,date_established,remarks,keywords,inventory_id,dggs_sample_id,barcode,lat_wgs84,long_wgs84,sample_type,measured_d,remark,path_cache,dggs_station,field_station_id,field_station_number,latitude,longitude,geodetic_model_id,est_position_error,location_method,field_station_description,dggs_get_full_name_first_last,sample_id,borehole_location,borehole_depth_ft,prospect,Collection,UAFID,mass_sampled_g,notes_inside_rockboxes
Chatanika,1,75,,,,Eclogite and associated rocks (Yukon-Tanana crystalline complex); Pelitic schist and quartzite and mafic interbeds (Yukon-Tanana crystalline complex),,,,,,503C,,,65.05,-147.53,borehole,300,,,,,,,,,,,,,,,200,True North Gold Property,Kinross,83,2.3,
Bridge,5,47,Livengood South,10BAE256B,,"Flysch and quartzite, Kandik Group and equivalents","Heading SW on Wilbur Cr Rd, in the woods, north side of rd. Alyeska Quarry with good outcrop exposure",Wilbur Cr Rd,29/6/2010 00:00:00,,"{raw,""hand sample""}",366955,111206,GMC-000077617,65.43,-148.35,outcrop,,,ANC/CO/20/10/E,115265,115265,10BAE256,65.42667,-148.3428,1,6,Garmin GPS and loaded from field database,,Brent A. Elliott,111206,,,,,34,2.4,
Chatanika,1,75,,,,Eclogite and associated rocks (Yukon-Tanana crystalline complex); Pelitic schist and quartzite and mafic interbeds (Yukon-Tanana crystalline complex),,,,,,503C,,,65.05,-147.53,borehole,300,,,,,,,,,,,,,,,300,True North Gold Property,Kinross,85,2.4,small fragments only
Vault,1,64,,,,Pelitic schist and quartzite and mafic interbeds (Yukon-Tanana crystalline complex),,,,,,1996 OD-11,,,65.01,-147.81,borehole,530,,,,,,,,,,,,,,,450,Old Dog,,69,2.6,transition
LittleChena,1,95,,,,Pelitic schist and quartzite and mafic interbeds (Yukon-Tanana crystalline complex),,,,,,PM-3,,,64.98,-147.32,borehole,122,,,,,,,,,,,,,,Perrault-Murphy,21,,Kinross,73,2.6,
Pioneer,4,52,"Rampart Mining District, Tanana A-1 and A-2 quadrangles",97KC003,cemented brecciated quartzite,"Flysch and quartzite, Kandik Group and equivalents",2017-NGGDPP record,,1/1/97 0:00,2017-NGGDPP record,"{raw,""hand sample""}",338261,22318,GMC000008915,65.22,-150.2,outcrop,,,ANC/CO/19/03/C,21480,21480,97KC003,65.225,-150.1931,1,60,"Geochemical analysis files; Alternate location from AGDI topo map (65.22580769,-150.19070076);  Co-located with 97KC002.",,Karen H. Clautice,22318,,,,,26,2.7,"brecciated quartzite w/ limonite, Wolverine formation"
Chatanika,1,75,,,,Eclogite and associated rocks (Yukon-Tanana crystalline complex); Pelitic schist and quartzite and mafic interbeds (Yukon-Tanana crystalline complex),,,,,,503C,,,65.05,-147.53,borehole,300,,,,,,,,,,,,,,,75,True North Gold Property,Kinross,80,2.7,
Bonanza,3,11,Ray Mountains,12LF247A,"Biotite granite; medium-grained equigranular, locally foliated muscovite-biotite granite, 5-10% muscovite 1-2 mm, 10-15% biotite, <0.5% 0.1-2 mm pink garnet, 30% 1 mm quartz, locally has blue fluorescent minerals that may be scheelite, <0.1%. Large b oulder field where Clautice thesis geologic map has 2 mica granite with garnet. 70% of exposure.",Pelitic and quartzitic schist of the Ruby terrane,,,1/1/12 0:00,,"{raw,""hand sample""}",673485,69130,GMC-000131762,66.62,-150.07,outcrop,,,ANC/CO/21/07/B,70543,70543,12LF247,66.619855,-150.065656,1,1,WAAS-enabled GPS device,,Lawrence K. Freeman,69130,,,,,33,2.8,"equigranular, locally foliated, muscovite-biotite granite, 5-10% muscovite 1-2 mm, 10-15% biotite, < 0.5% 1-2 mm pink garn"
Livengood,5,40,"Livengood Mining District, Livengood C-3 and C-4 quadrangles",03MBW251B,,Clastic and carbonate rocks of the Yukon Flats Basin,trail rock,,15/6/2003 00:00:00,,"{raw,""hand sample""}",279209,11091,GMC000001464,65.52,-148.52,outcrop,,,ANC/CO/20/01/E,12626,12626,03MBW251,65.52091596,-148.5363145,1,9,"; Alternate location published in RI 2016-5: 65.52099447, -148.536003",,Melanie B. Werdon,11091,,,,,41,2.8,
FortHamlinHills,2,28,Ray Mountains,12RN490A,"Lithology based on geochemical data and rock textures in hand sample: granite porphyry; Lithology and supplemental textural or mineral descriptors assigned in the field when the sample was collected: granite, tourmaline",Pelitic and quartzitic schist of the Ruby terrane,,,1/1/12 0:00,,"{raw,""hand sample""}",674509,69247,GMC-000131787,66.07,-149.92,outcrop,,,ANC/CO/21/07/B,70762,70762,12RN490A,66.073408,-149.920075,1,1,WAAS-enabled GPS device,,Rainer J. Newberry,69247,,,,,30,2.9,tourmaline-bearing biotite granite cobbles
West_Fork_Chena,2,88,"Northeastern Fairbanks Mining District, Circle Quadrangle",07Z447A,,Pelitic schist and quartzite and mafic interbeds (Yukon-Tanana crystalline complex),Wander through birch forest - found outcrop(12 ft x 4 ft ),B,27/6/2007 00:00:00,,"{raw,""hand sample""}",284788,51139,GMC000006815,65.21,-146.38,outcrop,,,ANC/CO/20/06/E,46137,46137,07Z447,65.21436432,-146.3853756,1,6,"Garmin GPS, recorded in field notes, then Minerals field database",,David J. Szumigala,51139,,,,,24,2.9,
Hess,5,30,"Livengood Mining District, Livengood C-3 and C-4 quadrangles",03LF015,,Wickersham and Neruokpuk units,above lake - rubble very close to outcrop continues south west as outcrop 200m,,9/6/03 0:00,from GMC inventory file; 2017-NGGDPP record; ,"{raw,""hand sample""}",336571,148198,GMC000001441,65.59,-148.75,outcrop,,,ANC/CO/20/02/E,13568,13568,03LF015,65.58994745,-148.7447325,1,5,Garmin GPS and loaded from field database,,Lawrence K. Freeman,148198,,,,,22,3,
Lost,5,34,"Livengood Mining District, Livengood C-3 and C-4 quadrangles",03JEA156A,,Sedimentary rocks and chert (Angayucham); Unconsolidated and poorly consolidated surficial deposits,,,9/6/03 0:00,,"{raw,""hand sample""}",283649,10673,GMC000001492,65.62,-148.65,outcrop,,,ANC/CO/20/01/E,12860,12860,03JEA156,65.62342828,-148.6334356,1,3,Garmin GPS and loaded from field database,,Jennifer E. Athey,10673,,,,,31,3,
UpperChatanika_Campground,5,78,Steese-White Mountains,30417R,white to light gray laminated qtzt,Pelitic schist and quartzite and mafic interbeds (Yukon-Tanana crystalline complex),,,1/1/87 0:00,,"{raw,""hand sample""}",333833,168905,GMC000001107,65.44,-146.17,outcrop,,,ANC/CO/20/01/D,29932,29932,87MA015,65.43736451,-146.1640421,1,100,Geochemical analysis files,,Mary D. Albanese,34538,,,,,42,3,
,,,,12LF245A,,,,,,,,,,GMC-000131760,,,,,,,,,,,,,,,,,,,,,,25,3.1,biotite garnet hornfuls
WFkDall,2,22,Ray Mountains,12RN062B,,Pelitic and quartzitic schist of the Ruby terrane,,,1/1/12 0:00,"o/c along road cut crumbly, feox- stained, (calc?) qtz musc sch & musc-qtz schist. Rx only a mother could love.","{raw,""hand sample""}",673692,82876,GMC-000131767,66.26,-150.33,outcrop,,,ANC/CO/21/07/B,84203,84203,12RN062B,66.258064,-150.325061,1,8,Geochemical analysis files,,Rainer J. Newberry,82876,,,,,35,3.9,"Rx only a mother could love, feox, calc? qtz musc sch + musc-qtz schist"
FortHamlinHills,3,29,Ray Mountains,12MJB002A,,Granitic rocks of central and southeast Alaska,,,1/1/12 0:00,2017-NGGDPP record,"{raw,""hand sample""}",673589,144358,GMC-000131794,66.03,-150.13,outcrop,,,ANC/CO/21/07/B,70078,70078,12MJB002,66.03333684,-150.1267259,1,1,WAAS-enabled GPS device,,Michael J. Blessington,144358,,,,,38,4.1,
Goldstream_SheepCk,5,58,Fairbanks 1980s,FBX82-D2_284,,Unconsolidated and poorly consolidated surficial deposits; Pelitic schist and quartzite and mafic interbeds (Yukon-Tanana crystalline complex),,,1/1/81 0:00,,"{raw,""hand sample""}",285511,37642,GMC000007257,64.91,-147.9,outcrop,,,ANC/CO/20/07/D,35375,35375,81MR083,64.915,-147.8961,1,100,Geochemical analysis files,,Mark S. Robinson,37642,,,,,51,4.2,81MR83
